"coloration.key","variable","Label","Display.Order","Color","R","G","B","hexvalue","shape","size","alpha"
"PBL","Not PBL","Not PBL",3,"dark gray",128,128,128,"#808080",NA,NA,NA
"Area","Services (Non-R&D)","Services (Non-R&D)",1,"Red, Accent 1",192,80,77,"#C0504D",NA,NA,NA
"Area","Services (All)","Services (All)",1,"Red, Accent 1",192,80,77,"#C0504D",NA,NA,NA
"Area","Services","Services",1,"Red, Accent 1",192,80,77,"#C0504D",NA,NA,NA
"Area","All Services","All Services",1,"Red, Accent 1",192,80,77,"#C0504D",NA,NA,NA
"Area","PAMS","PAMS",2,"teal",65,152,175,"#4198AF",NA,NA,NA
"Area","ICT","ICT",3,"blue",69,114,167,"#4572A7",NA,NA,NA
"Area","ERS","ERS",4,"red",170,70,67,"#AA4643",NA,NA,NA
"Area","FRS&C","FRS&C",5,"olive green",137,165,78,"#89A54E",NA,NA,NA
"Area","MED","MED",7,"orange",219,132,3,"#DB8403",NA,NA,NA
"Area","Other Services","Services (All)",8,"Red, Accent 1",192,80,77,"#C0504D",NA,NA,NA
"Area","R&D","R&D",9,"purple",113,88,143,"#71588F",NA,NA,NA
"Area","Products","Products",10,"light blue",147,169,207,"#93A9CF",NA,NA,NA
"Area","Products (All)","Products",10,"light blue",147,169,207,"#93A9CF",NA,NA,NA
"Area","Other","Other",10,"peach",253,200,200,"#DB8403",NA,NA,NA
"Area","Aircraft","Aircraft",11,"light Blue",147,205,221,"#93CDDD",NA,NA,NA
"Area","Ground Vehicles","Ground Vehicles",12,"dark olive green",85,107,47,"#556B2F",NA,NA,NA
"Area","Ships","Ships",13,"Blue",0,112,192,"#0070C0",NA,NA,NA
"Area","Missiles & Space","Missiles & Space",14,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Area","Engines & Power Plants","Engines & Power Plants",15,"red",192,80,77,"#C0504D",NA,NA,NA
"Area","Electronics & Communications","Electronics & Communications",16,"dodger blue",30,144,255,"#1E90FF",NA,NA,NA
"Area","Launchers & Munitions","Launchers & Munitions",18,"dark orange",255,140,0,"#FF8C00",NA,NA,NA
"Area","Clothing & Subsistence","Clothing & Subsistence",19,"purple",179,162,199,"#B3A2C7",NA,NA,NA
"Area","Fuels","Fuels",21,"dark gray",128,128,128,"#808080",NA,NA,NA
"Area","Fuel","Fuel",21,"dark gray",128,128,128,"#808080",NA,NA,NA
"Area","Unlabeled","Unlabeled",25,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Area","Other Products","Products",21,"light blue",147,169,207,"#93A9CF",NA,NA,NA
"Area","Launchers & Mun.","Launchers & Munitions",18,"dark orange",255,140,0,"#FF8C00",NA,NA,NA
"Area","Engines & Power Pl.","Engines & Power Plants",15,"red",192,80,77,"#C0504D",NA,NA,NA
"Area","Electronics & Comm.","Electronics & Communications",16,"dodger blue",30,144,255,"#1E90FF",NA,NA,NA
"Area","Clothing & Sub.","Clothing & Subsistence",19,"purple",179,162,199,"#B3A2C7",NA,NA,NA
"Area","Other Platform/Weap.",NA,13,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Area","Operation of Government R&D Facilities","Operation of Government\nR&D Facilities",30,"light blue",147,169,207,"#93A9CF",NA,NA,NA
"Area","Basic Research (6.1)","Basic Research (6.1)",31,"dark olive green",85,107,47,"#556B2F",NA,NA,NA
"Area","Applied Research (6.2)","Applied Research (6.2)",32,"dark orange",255,140,0,"#FF8C00",NA,NA,NA
"Area","Advanced Technology Development (6.3)","Advanced Technology\nDevelopment (6.3)",33,"peach",253,200,200,"#FDC8C8",NA,NA,NA
"Area","Advanced Component Development & Prototypes (6.4)","Advanced Component\nDevelopment & Prototypes (6.4)",34,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Area","System Development & Demonstration (6.5)","System Development &\nDemonstration (6.5)",35,"red",192,80,77,"#C0504D",NA,NA,NA
"Area","Operational Systems Development (6.7)","Operational Systems\nDevelopment (6.7)",36,"purple",179,162,199,"#B3A2C7",NA,NA,NA
"Area","Uncategorized R&D","Uncategorized R&D",37,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Agencies","Defense","Defense",1,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Agencies","Energy","Energy",2,"Blue",0,112,192,"#0070C0",NA,NA,NA
"Agencies","GSA","GSA",3,"light Blue",147,205,221,"#93CDDD",NA,NA,NA
"Agencies","NASA","NASA",4,"Peach",250,192,144,"#FAC090",NA,NA,NA
"Agencies","HHS","HHS",5,"teal",65,152,175,"#4198AF",NA,NA,NA
"Agencies","State and USAID","State&AID",6,"Orange",219,132,61,"#DB843D",NA,NA,NA
"Agencies","State and IAP","State&IAP",6,"Orange",219,132,61,"#DB843D",NA,NA,NA
"Agencies","DHS","DHS",7,"Purpleblue",147,169,207,"#93A9CF",NA,NA,NA
"Agencies","Other Agencies","Other",8,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","Unlabeled","Unlabeled",9,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Agencies","Energy
(5% 2013-2014, -6% 2012-2013)","Energy
(5% 2013-2014, -6% 2012-2013)",2,"Blue",0,112,192,"#0070C0",NA,NA,NA
"Agencies","GSA
(4% 2013-2014, -12% 2012-2013)","GSA
(4% 2013-2014, -12% 2012-2013)",3,"light Blue",147,205,221,"#93CDDD",NA,NA,NA
"Agencies","NASA
(4% 2013-2014, -9% 2012-2013)","NASA
(4% 2013-2014, -9% 2012-2013)",4,"Peach",250,192,144,"#FAC090",NA,NA,NA
"Agencies","HHS
(6% 2013-2014, 2% 2012-2013)","HHS
(6% 2013-2014, 2% 2012-2013)",5,"teal",65,152,175,"#4198AF",NA,NA,NA
"Agencies","State and IAP
(8% 2013-2014, -12% 2012-2013)","State and IAP
(8% 2013-2014, -12% 2012-2013)",6,"Orange",219,132,61,"#DB843D",NA,NA,NA
"Agencies","DHS
(4% 2013-2014, -3% 2012-2013)","DHS
(4% 2013-2014, -3% 2012-2013)",7,"Purpleblue",147,169,207,"#93A9CF",NA,NA,NA
"Agencies","""Other Non-Defense Agencies""
(2% 2013-2014, -7% 2012-2013)","""Other Non-Defense Agencies""
(2% 2013-2014, -7% 2012-2013)",8,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","Army","Army",1,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Agencies","Navy","Navy",2,"Blue",0,112,192,"#0070C0",NA,NA,NA
"Agencies","Air Force","Air Force",3,"light Blue",147,205,221,"#93CDDD",NA,NA,NA
"Agencies","DLA","DLA",4,"peach",253,200,200,"#FDC8C8",NA,NA,NA
"Agencies","DLA and Other DoD","DLA and Other DoD",4,"peach",253,200,200,"#FDC8C8",NA,NA,NA
"Agencies","Other DoD","Other DoD",8,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","TMA*","TMA*",5,"light orange",247,200,120,"#F7C878",NA,NA,NA
"Agencies","USSOCOM","USSOCOM",6,"orange",247,150,70,"#F79646",NA,NA,NA
"Agencies","DeCA","DeCA",7,"pink",255,100,100,"#FF6464",NA,NA,NA
"Agencies","MDA","MDA",8,"light purple",179,162,199,"#B3A2C7",NA,NA,NA
"Agencies","DISA","DISA",9,"purple",113,88,143,"#71588F",NA,NA,NA
"Agencies","USACE (Civil Prog.)","USACE (Civil Prog.)",12,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","USTRANSCOM","USTRANSCOM",12,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","MilitaryHealth","Military Health",12,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","Military \n Health","Military \n Health",12,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","Other","Other",12,"Light Red",209,147,146,"#DB8403",NA,NA,NA
"Agencies","Remaining DoD Agencies","Remaining DoD Agencies",12,"Light Red",255,0,0,"#FF0000",NA,NA,NA
"Agencies","Additional DoD Components","Additional DoD Components",12,"Light Red",255,0,0,"#FF0000",NA,NA,NA
"Agencies","Additional\nDoD\nComponents","Additional \n DoD \n Components",12,"Light Red",255,0,0,"#FF0000",NA,NA,NA
"Agencies","Unlabeled","Unlabeled",13,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Agencies","State","State",1,"light Blue",142,165,203,"#8EA5CB",NA,NA,NA
"Agencies","USAID","USAID",2,"Orange",219,131,60,"#DB833C",NA,NA,NA
"Agencies","AFRICAN DEVELOPMENT FOUNDATION","AFRICAN DEVELOPMENT FOUNDATION",2,"Orange",219,131,60,"#DB833C",NA,NA,NA
"Agencies","PEACE CORPS","PEACE CORPS",2,"Orange",219,131,60,"#DB833C",NA,NA,NA
"Agencies","INTER-AMERICAN FOUNDATION","INTER-AMERICAN FOUNDATION",2,"Orange",219,131,60,"#DB833C",NA,NA,NA
"Agencies","MILLENNIUM CHALLENGE CORPORATION","MILLENNIUM CHALLENGE CORPORATION",2,"Orange",219,131,60,"#DB833C",NA,NA,NA
"Agencies","OVERSEAS PRIVATE INVESTMENT CORPORATION","OVERSEAS PRIVATE INVESTMENT CORPORATION",2,"Orange",219,131,60,"#DB833C",NA,NA,NA
"Agencies","Uncategorized","Uncategorized",9,"white",238,236,225,"#EEECE1",NA,NA,NA
"Agencies","FEMA","FEMA",1,"Olive Green",134,165,75,"#86A54B",NA,NA,NA
"Agencies","ICE","ICE",2,"Blue",68,112,167,"#4470A7",NA,NA,NA
"Agencies","COAST GUARD","Coast Guard",3,"light Blue",142,165,203,"#8EA5CB",NA,NA,NA
"Agencies","TSA","TSA",4,"Peach",206,142,141,"#CE8E8D",NA,NA,NA
"Agencies","OSEC","OSEC",5,"red",168,66,63,"#A8423F",NA,NA,NA
"Agencies","CBP","CBP",6,"Orange",219,131,60,"#DB833C",NA,NA,NA
"Agencies","Other DHS","Other DHS",7,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Agencies","OPO","OPO",5,"red",168,66,63,"#A8423F",NA,NA,NA
"Vehicles","Definitive","Definitive",1,"light blue",149,179,215,"#95B3D7",NA,NA,NA
"Vehicles","Pur. Order","Pur. Order",2,"green",108,192,113,"#6CC071",NA,NA,NA
"Vehicles","Single-Awd.","Single-Awd.",3,"yellow",255,192,0,"#FFC000",NA,NA,NA
"Vehicles","Multi-Awd.","Multi-Awd.",4,"orange",247,150,70,"#F79646",NA,NA,NA
"Vehicles","BPA","BPA",6,"pink",217,150,148,"#D99694",NA,NA,NA
"Vehicles","FSS","FSS",5,"light purple",179,162,199,"#B3A2C7",NA,NA,NA
"Vehicles","FSS","FSS",5,"light purple",179,162,199,"#B3A2C7",NA,NA,NA
"Vehicles","Letter Contract","Letter",NA,"blue",0,0,255,"#0000FF",NA,NA,NA
"Vehicles","Other IDV","Other IDV",7,"peach",230,185,184,"#E6B9B8",NA,NA,NA
"Vehicles","Unlbd. IDV","Unlbd. IDV",8,"redish-white",255,235,255,"#FFEBFF",NA,NA,NA
"Vehicles","Unlbd. Awd.","Unlbd. Awd.",8,"white",238,236,225,"#EEECE1",NA,NA,NA
"Vehicles","Unlabeled","Unlabeled",12,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Pricing","Fixed","Fixed",3,"dark blue",69,114,167,"#4572A7",NA,NA,NA
"Pricing","Fixed Price (Firm)","Fixed Price (Firm)",2,"blue",50,100,150,"#326496",NA,NA,NA
"Pricing","Fixed Price (Other)","Fixed Price (Other)",3,"Blue",185,205,229,"#B9CDE5",NA,NA,NA
"Pricing","Cost+","Cost+",4,"red",192,80,77,"#C0504D",NA,NA,NA
"Pricing","Cost (Plus Incentive)","Cost (Plus Incentive)",5,"pink",217,150,148,"#D99694",NA,NA,NA
"Pricing","Cost (Other)","Cost (Other)",6,"Red",192,80,77,"#C0504D",NA,NA,NA
"Pricing","Time/Mat.","Time/Mat.",7,"orange",247,150,70,"#F79646",NA,NA,NA
"Pricing","Other","Other",8,"green",146,208,80,"#DB8403",NA,NA,NA
"Pricing","Combination","Combination",9,"purple",179,162,199,"#B3A2C7",NA,NA,NA
"Pricing","Unlabeled","Unlabeled",10,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Pricing","Fixed-Price","Fixed-Price",1,"blue",0,0,255,"#0000FF",16,NA,NA
"Pricing","Cost-Based","Cost-Based",4,"red",255,0,0,"#FF0000",17,NA,NA
"Pricing","Combination/Other","Combination/Other",9,"purple",179,162,199,"#B3A2C7",NA,NA,NA
"Pricing","Other Cost-Based","Other Cost-Based",5,"orange",247,150,70,"#F79646",NA,NA,NA
"Pricing","Firm-Fixed-Price / No Fee","Firm-Fixed-Price / No Fee",1,"blue",50,100,150,"#326496",NA,NA,NA
"Pricing","No Fee","No Fee",1,"blue",50,100,150,"#326496",NA,NA,NA
"Pricing","Award","Award",5,"Red",192,80,77,"#C0504D",NA,NA,NA
"Pricing","Incentive","Incentive",4,"green",146,208,80,"#92D050",NA,NA,NA
"Pricing","Fixed Fee","Fixed Fee",3,"dark blue",69,114,167,"#4572A7",NA,NA,NA
"Pricing","Unclear","Unclear",10,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Hypothesis","Population","Population",1,"purple",153,0,204,"#9900CC",15,NA,NA
"Hypothesis","R&D","R&D",2,"green",0,102,0,"#71588F",7,NA,NA
"Hypothesis","MDAP","MDAP",3,"orange",153,102,0,"#996600",7,NA,NA
"Hypothesis","2+ Year Dur.","2+ Year Dur.",4,"teal",0,153,153,"#009999",7,NA,NA
"Hypothesis","Comp.","Comp.",5,"pale yellow",255,102,0,"#FF6600",7,NA,NA
"Hypothesis","Possible Software Eng.","Possible Software Eng.",6,"green",102,102,51,"#666633",7,NA,NA
"Hypothesis","Software Dev.","Software Dev.",6,"green",102,102,51,"#666633",7,NA,NA
"Contract Size","Deobligation","Deobligation",1,"red",192,80,77,"#C0504D",NA,NA,NA
"Contract Size","Zero value","Zero value",2,"pink",217,150,148,"#D99694",NA,NA,NA
"Contract Size","Less than $250 thousand","Less than $250 thousand",3,"light purple",179,162,199,"#B3A2C7",NA,NA,NA
"Contract Size","$250,000 - <$1 million","$250,000 - <$1 million",4,"purple",200,180,225,"#C8B4E1",NA,NA,NA
"Contract Size","$1 - <$25 million","$1 - <$25 million",5,"dark blue",31,78,120,"#1F4E78",NA,NA,NA
"Contract Size","$1 - <$5 million","$1 - <$5 million",5,"dark blue",31,78,120,"#1F4E78",NA,NA,NA
"Contract Size","$5 - <$25 million","$5 - <$25 million",6,"Blue",185,205,229,"#B9CDE5",NA,NA,NA
"Contract Size","$25 - <$100 million","$25 - <$100 million",7,"light blue",149,179,215,"#95B3D7",NA,NA,NA
"Contract Size","$100 - <$500 million","$100 - <$500 million",8,"green",146,208,80,"#92D050",NA,NA,NA
"Contract Size","$500 million and greater","$500 million and greater",9,"orange",247,150,70,"#F79646",NA,NA,NA
"Contract Size","Unlabeled","Unlabeled",12,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Contract.Size.Sum","Deobligation","Deobligation",1,"red",192,80,77,"#C0504D",NA,NA,NA
"Contract.Size.Sum","Zero value","Zero value",2,"pink",217,150,148,"#D99694",NA,NA,NA
"Contract.Size.Sum","Less than $250 thousand","Less than $250 thousand",3,"light purple",179,162,199,"#B3A2C7",NA,NA,NA
"Contract.Size.Sum","$250,000 - <$1 million","$250,000 - <$1 million",4,"purple",200,180,225,"#C8B4E1",NA,NA,NA
"Contract.Size.Sum","$1 - <$25 million","$1 - <$25 million",5,"dark blue",31,78,120,"#1F4E78",NA,NA,NA
"Contract.Size.Sum","$1 - <$5 million","$1 - <$5 million",5,"dark blue",31,78,120,"#1F4E78",NA,NA,NA
"Contract.Size.Sum","$5 - <$25 million","$5 - <$25 million",6,"Blue",185,205,229,"#B9CDE5",NA,NA,NA
"Contract.Size.Sum","$25 - <$100 million","$25 - <$100 million",7,"light blue",149,179,215,"#95B3D7",NA,NA,NA
"Contract.Size.Sum","$100 - <$500 million","$100 - <$500 million",8,"green",146,208,80,"#92D050",NA,NA,NA
"Contract.Size.Sum","$500 million and greater","$500 million and greater",9,"orange",247,150,70,"#F79646",NA,NA,NA
"Contract.Size.Sum","Unlabeled","Unlabeled",12,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Competition","Full and Open (2+ offers)","Full and Open Comp. (2+ offers)",10,"dark blue",69,114,167,"#4572A7",NA,NA,NA
"Competition","Limited Comp. (2+ offers)","Limited Comp. (2+ offers)",8,"blue",50,100,150,"#326496",NA,NA,NA
"Competition","2+ Offers","2+ Offers",8,"blue",50,100,150,"#326496",NA,NA,NA
"Competition","2 Offers","2 Offers",8,"light blue",96,180,233,"#60B4E9",NA,NA,NA
"Competition","5+ Offers","5+ Offers",10,"dark blue",31,78,120,"#1F4E78",NA,NA,NA
"Competition","3+ Offers","3+ Offers",9,"blue",79,129,189,"#4F81BD",NA,NA,NA
"Competition","3-4 Offers","3-4 Offers",9,"blue",79,129,189,"#4F81BD",NA,NA,NA
"Competition","1 Offer","1 Offer",7,"light purple",204,121,167,"#CC79A7",NA,NA,NA
"Competition","Follow on to Competed Action","Follow on to Competed Action",6,"pink",217,150,148,"#D99694",NA,NA,NA
"Competition","No Comp. (Only 1 Source)","No Comp. (Only 1 Source)",5,"red",247,150,70,"#F79646",NA,NA,NA
"Competition","No Comp. (Other)","No Comp. (Other)",4,"orange",247,150,70,"#F79646",NA,NA,NA
"Competition","No Comp.","No Comp.",3,"red",192,80,77,"#C0504D",NA,NA,NA
"Competition","No Comp. (Unlabeled)","No Comp. (Unlabeled)",2,"peach",253,234,218,"#FDEADA",NA,NA,NA
"Competition","Unlabeled","Unlabeled",11,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Competition","Effective Comp.","Effective Comp.",1,"blue",50,100,150,"#326496",NA,NA,NA
"Competition","Not Effective Comp.","Not Effective Comp.",2,"pink",217,150,148,"#D99694",NA,NA,NA
"Vendors","Small","Small",1,"blue",79,129,189,"#4F81BD",NA,NA,NA
"Vendors","Medium","Medium",2,"red",154,78,78,"#9A4E4E",NA,NA,NA
"Vendors","Medium (<1B)","Medium (<1B)",3,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Vendors","Medium (>1B)","Medium (>1B)",4,"Dark Red",255,78,78,"#FF4E4E",NA,NA,NA
"Vendors","Large","Large",5,"green",146,208,80,"#92D050",NA,NA,NA
"Vendors","Large (Big 6)","Large (Big 6)",6,"olive green",137,165,78,"#89A54E",NA,NA,NA
"Vendors","Unlabeled","Unlabeled",10,"reddish gray",150,120,120,"#967878",NA,NA,NA
"Vendors","Always Small","Always Small",1,"blue",79,129,189,"#4F81BD",NA,NA,NA
"Vendors","Sometimes Small","Sometimes Small",1,"Purple, Accent 1",128,100,162,"#8064A2",NA,NA,NA
"Vendors","Large: Big 6 ","Large: Big 6 ",6,"olive green",137,165,78,"#89A54E",NA,NA,NA
"Vendors","Large: Big 6 JV","Large: Big 6 JV",6,"olive green",137,165,78,"#89A54E",NA,NA,NA
"Vendors","Medium <1B","Medium <1B",3,"Light Red",209,147,146,"#D19392",NA,NA,NA
"Vendors","Medium >1B","Medium >1B",4,"Dark Red",255,78,78,"#FF4E4E",NA,NA,NA
"Europe","increase2","increase2",1,"Forest Green",0,88,0,"#005800",NA,NA,NA
"Europe","increase1","increase1",2,"Grass Green",89,170,60,"#59AA3C",NA,NA,NA
"Europe","stable","stable",3,"pale yellow",254,202,72,"#FECA48",NA,NA,NA
"Europe","decrease1","decrease1",4,"Red, Accent 2, 60% lighter",218,150,148,"#DA9694",NA,NA,NA
"Europe","decrease2","decrease2",5,"red",192,0,0,"#C00000",NA,NA,NA
"Europe","missing","missing",6,"white",128,128,128,"#808080",NA,NA,NA
"Europe","United Kingdom","United Kingdom",7,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","France","France",8,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Germany","Germany",9,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Italy","Italy",10,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Turkey","Turkey",11,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Spain","Spain",12,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Netherlands","Netherlands",13,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Poland","Poland",14,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Greece","Greece",15,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Norway","Norway",16,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Sweden","Sweden",17,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Belgium","Belgium",18,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Denmark","Denmark",19,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Switzerland","Switzerland",20,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Portugal","Portugal",21,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Austria","Austria",22,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Finland","Finland",23,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Czech Republic","Czech Republic",24,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Romania","Romania",25,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Hungary","Hungary",26,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Ireland","Ireland",27,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Slovakia","Slovakia",28,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Croatia","Croatia",29,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Bulgaria","Bulgaria",30,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Serbia","Serbia",31,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Slovenia","Slovenia",32,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Cyprus","Cyprus",33,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Lithuania","Lithuania",34,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Estonia","Estonia",35,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Latvia","Latvia",36,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Luxembourg","Luxembourg",37,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Bos. & Herz.","Bos. & Herz.",38,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Albania","Albania",39,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Macedonia","Macedonia",40,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Montenegro","Montenegro",41,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Malta","Malta",42,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Moldova","Moldova",43,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Western Europe","Western Europe",44,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Southern Europe","Southern Europe",45,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Northern Europe","Northern Europe",46,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Eastern Europe","Eastern Europe",47,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Other Western Europe","Other Western Europe",48,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Visegrad Four","Visegrad Four",49,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Non-Aligned Eastern Europe","Non-Aligned Eastern Europe",50,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
"Europe","Baltic Region","Baltic Region",51,"Olive Green",155,187,89,"#9BBB59",NA,NA,NA
